Date,Adj Close
2022-09-12,162.466171
2022-09-13,152.932739
2022-09-14,154.394073
2022-09-15,151.471405
2022-09-16,149.811249
2022-09-19,153.568954
2022-09-20,155.974701
2022-09-21,152.813446
2022-09-22,151.839249
2022-09-23,149.542831
2022-09-26,149.880859
2022-09-27,150.865005
2022-09-28,148.956329
2022-09-29,141.639740
2022-09-30,137.384979
2022-10-03,141.609909
2022-10-04,145.238388
2022-10-05,145.536606
2022-10-06,144.572342
2022-10-07,139.263840
2022-10-10,139.591888
2022-10-11,138.160370
2022-10-12,137.524155
2022-10-13,142.146729
2022-10-14,137.563919
2022-10-17,141.570145
2022-10-18,142.902252
2022-10-19,143.011597
2022-10-20,142.544373
2022-10-21,146.401505
2022-10-24,148.568634
2022-10-25,151.441574
2022-10-26,148.469238
2022-10-27,143.946060
2022-10-28,154.821548
2022-10-31,152.435699
2022-11-01,149.761551
2022-11-02,144.174683
2022-11-03,138.060974
2022-11-04,137.792114
2022-11-07,138.329803
2022-11-08,138.907364
2022-11-09,134.297028
2022-11-10,146.246048
2022-11-11,149.064026
2022-11-14,147.650055
2022-11-15,149.402573
2022-11-16,148.157883
2022-11-17,150.079712
2022-11-18,150.647263
2022-11-21,147.381210
2022-11-22,149.541977
2022-11-23,150.428223
2022-11-25,147.480789
2022-11-28,143.607300
2022-11-29,140.570267
2022-11-30,147.401123
2022-12-01,147.679947
2022-12-02,147.182068
2022-12-05,146.007065
2022-12-06,142.302887
2022-12-07,140.341248
2022-12-08,142.043976
2022-12-09,141.556076
2022-12-12,143.876160
2022-12-13,144.852005
2022-12-14,142.601608
2022-12-15,135.920090
2022-12-16,133.938553
2022-12-19,131.807648
2022-12-20,131.737946
2022-12-21,134.874557
2022-12-22,131.668243
2022-12-23,131.299820
2022-12-27,129.477585
2022-12-28,125.504539
2022-12-29,129.059372
2022-12-30,129.378006
2023-01-03,124.538666
2023-01-04,125.823189
2023-01-05,124.488876
2023-01-06,129.069321
2023-01-09,129.597061
2023-01-10,130.174606
2023-01-11,132.922882
2023-01-12,132.843231
2023-01-13,134.187500
2023-01-17,135.362488
2023-01-18,134.635590
2023-01-19,134.695328
2023-01-20,137.284271
2023-01-23,140.510513
2023-01-24,141.924484
2023-01-25,141.257339
2023-01-26,143.348419
2023-01-27,145.310043
2023-01-30,142.392502
2023-01-31,143.677002
2023-02-01,144.812164
2023-02-02,150.179291
2023-02-03,153.843628
2023-02-06,151.085388
2023-02-07,153.992981
2023-02-08,151.274582
2023-02-09,150.229050
2023-02-10,150.598038
2023-02-13,153.430313
2023-02-14,152.782074
2023-02-15,154.906265
2023-02-16,153.290680
2023-02-17,152.133850
2023-02-21,148.074951
2023-02-22,148.503769
2023-02-23,148.992432
2023-02-24,146.309784
2023-02-27,147.516479
2023-02-28,147.007874
2023-03-01,144.913605
2023-03-02,145.511978
2023-03-03,150.617996
2023-03-06,153.410370
2023-03-07,151.186447
2023-03-08,152.452972
2023-03-09,150.179184
2023-03-10,148.094894
2023-03-13,150.059525
2023-03-14,152.173737
2023-03-15,152.572647
2023-03-16,155.424850
2023-03-17,154.577164
2023-03-20,156.970612
2023-03-21,158.845490
2023-03-22,157.399445
2023-03-23,158.496445
2023-03-24,159.812836
2023-03-27,157.848206
2023-03-28,157.219925
2023-03-29,160.331421
2023-03-30,161.917084
2023-03-31,164.450150
2023-04-03,165.716690
2023-04-04,165.178177
2023-04-05,163.313263
2023-04-06,164.210831
2023-04-10,161.587982
2023-04-11,160.361343
2023-04-12,159.663269
2023-04-13,165.108353
2023-04-14,164.759323
2023-04-17,164.779251
2023-04-18,166.015884
2023-04-19,167.172714
2023-04-20,166.195389
2023-04-21,164.569839
2023-04-24,164.878983
2023-04-25,163.323242
2023-04-26,163.313263
2023-04-27,167.950592
2023-04-28,169.217117
2023-05-01,169.127365
2023-05-02,168.080231
2023-05-03,166.993195
2023-05-04,165.337723
2023-05-05,173.096512
2023-05-08,173.026688
2023-05-09,171.301422
2023-05-10,173.086533
2023-05-11,173.276016
2023-05-12,172.337280
2023-05-15,171.837967
2023-05-16,171.837967
2023-05-17,172.457123
2023-05-18,174.813934
2023-05-19,174.923798
2023-05-22,173.965073
2023-05-23,171.328644
2023-05-24,171.608261
2023-05-25,172.756714
2023-05-26,175.193420
2023-05-30,177.060898
2023-05-31,177.010971
2023-06-01,179.847137
2023-06-02,180.705978
2023-06-05,179.337830
2023-06-06,178.968338
2023-06-07,177.580200
2023-06-08,180.326492
2023-06-09,180.715973
2023-06-12,183.542145
2023-06-13,183.062790
2023-06-14,183.701935
2023-06-15,185.759155
2023-06-16,184.670624
2023-06-20,184.760498
2023-06-21,183.711929
2023-06-22,186.747818
2023-06-23,186.428238
2023-06-26,185.020157
2023-06-27,187.806381
2023-06-28,188.994781
2023-06-29,189.334320
2023-06-30,193.708420
2023-07-03,192.200470
2023-07-05,191.071976
2023-07-06,191.551331
2023-07-07,190.422852
2023-07-10,188.355652
2023-07-11,187.826370
2023-07-12,189.514084
2023-07-13,190.283035
2023-07-14,190.432846
2023-07-17,193.728394
2023-07-18,193.468735
2023-07-19,194.836899
2023-07-20,192.869553
2023-07-21,191.681168
2023-07-24,192.490067
2023-07-25,193.358887
2023-07-26,194.237701
2023-07-27,192.959427
2023-07-28,195.565918
2023-07-31,196.185074
2023-08-01,195.346207
2023-08-02,192.320297
2023-08-03,190.912201
2023-08-04,181.744583
2023-08-07,178.608810
2023-08-08,179.557526
2023-08-09,177.949707
2023-08-10,177.729996
2023-08-11,177.789993
2023-08-14,179.460007
2023-08-15,177.449997
2023-08-16,176.570007
2023-08-17,174.000000
2023-08-18,174.490005
2023-08-21,175.839996
2023-08-22,177.229996
2023-08-23,181.119995
2023-08-24,176.380005
2023-08-25,178.610001
2023-08-28,180.190002
2023-08-29,184.119995
2023-08-30,187.649994
2023-08-31,187.869995
2023-09-01,189.460007
2023-09-05,189.699997
2023-09-06,182.910004
2023-09-07,177.559998
2023-09-08,178.179993
2023-09-11,179.360001
2023-09-12,175.320007
